,addresses,postal_codes,districts,house_types,Sold:,List:,Taxes:,DOM:,Lot:,Rms:,Bedrooms:,Washrms:,Client Remks:,Extras:,Brkage Remks:,Kitchens:,Fam Rm:,Basement:,Fireplace/Stv:,Heat:,A/C:,Central Vac:,Apx Age:,Apx Sqft:,Assessment:,POTL:,Laundry lev:,Exterior:,Drive:,Gar/Gar Spcs:,Drive Pk Spcs:,Tot Pk Spcs:,UFFI:,Pool:,Prop Feat:,Zoning:,Cable TV:,Hydro:,Gas:,Phone:,Water:,Water Supply:,Sewer:,Waterfront:,Retirement:,Farm/Agr:,Oth Struct:,,Spec Desig:
493,26 Sharpe St,M1N3T6,Toronto E06,Bungalow,"$510,000","$575,000","$2,496.06",2,30 x 120 Feet,5,2,1,"Welcome To 26 Sharpe Street In Sought After Birchliffe-Cliffside Community. Excellent Schools In The Neighbourhood Including John A. Leslie Elementary And R.H. King Academy. Large Veranda Overlooking Sharpe Street. Steps To Shopping, Sandown Park, Ttc, Go Train, & The Bluffs. Renovate Or Build The Home Of Your Dreams. The House Is Being Sold In ""As Is"" Condition.","Fridge, Stove, Washer, Dryer, All Elfs, All Window Coverings, Garden Shed.","Survey And Schedule B Attached. All Chattels And Fixtures Are To Be Sold In ""As Is"" Condition Without Warranty. Hot Water Tank And Boiler Rental. Thank You For Showing!",1,N,Sep Entrance / Unfinished,Y,Radiant / Gas,None,,,,,,,Brick,Mutual,None / 0.0,1,1,,None,"Fenced Yard, Library, Park, Rec Centre, School",,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
494,60 Dynevor Rd,M6E3X2,Toronto W03,Bungalow,"$595,000","$589,000","$2,977.41",3,25 x 102.7 Feet,6 + 2,3 + 1,2,"Great Starter Home In An Up And Coming Neighborhood . Just Steps To The New Eglinton X-Town. A Solid House.  On The Main Floor Are 3 Main Floor Bedrooms, An Updated 4-Pc Bath, A Large Main Floor Living Room, And A Spacious Eat-In Kitchen.  The Lower Level Features A Large Family Room, Another Up-Dated 4-Pc Bathroom And An Extra Bedroom.  The Basement Floor Plan Lends Itself To A Range Of Possibilities.  Walk To Schools, Walk To Transit,","Property Sits On A Large 25 X 102 Foot Lot.  Basement Water Proofing By Contractor Licensed By City Of Toronto With 25 Year Transferable Warranty.  Address Is Eligible For On-Street Permit Parking, Hot Water Tank Rental","Min 5% Deposit. Offers At Anytime, 24 Hrs Irrevocable Incld Sch B And C.  Sellers Work Shifts And Cannot Address An Offer With A Shorter Time.  Some Knob&Tube. No Representation On Appliances No Specific Representation On Parking. Water Proofing Receipts For 2013 And 2017",1 + 1,N,Finished / Sep Entrance,N,Radiant / Gas,None,,51-99,,,,,Stucco/Plaster,None,None / 0.0,0,0,,None,"Park, Place Of Worship, Public Transit, School",,,,,,Municipal,,Sewers,,,,,,Unknown
495,92 Blackwater Cres,M1B1L6,Toronto E11,Backsplit 3,"$585,000","$598,000","$2,600.00",21,41.56 x 138.51 Feet,3 + 2,3 + 1,3,"Detached, 3 Level, 3 Bedroom Back Split On A Large Lot W/ Lots Of Parking.  Renovated Thru Out.  Wood Floors, Updated Bathrooms.  A Solid House.  Eat-In Kitchen, Finished Basement, Large Living Room, Separate Dining Room.  This Is A Great Family Home For A Large Family As Well.  Walk Out From Dining Room To Great Fenced In Back Yard For The Kids To Play.  Good Sized Laundry Room & Lots Of Storage.  Interlock Path, Garden Shed.  A Great Home.  Come And See It!","Includes All Elf's, All Window Coverings, All Appliances, Gas Burner & All Equipment",,1,Y,Finished / Sep Entrance,Y,Forced Air / Gas,Central Air,,,,,,,Alum Siding / Stone,Private,None / 0.0,3,3,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
496,17 Tralee Ave,M1G3E3,Toronto E09,Bungalow,"$605,000","$599,900","$2,441.48",9,40 x 120 Feet,6 + 1,3,2,"Excellent Location - Beautiful 3 Bedroom Bungalow On A Premium Sized Lot. Pride Of Ownership Shows. Living And Dining Room Combined, Separate Side Entrance To Basement. Huge Rec Room. Private Drive (Paved In 2014) And Fenced Yard. Very Quiet Street.","Fridge, Stove, Washer, Dryer, Gas Burner And Equipment, Central Air, Window Coverings, Electric Light Fixtures.","Lbx For Easy Showings From 10Am-8Pm.Steps To Schools & Park.Close To Ttc & Shopping. Sched.B,Form801&Copy Of Buyer's Mortgage Pre-Qual To Accomp All Offers.Sched.A To Listing Agmt Attached.Click Online Appt. Or Call L/B",1,N,Part Fin,N,Forced Air / Gas,Central Air,N,,,,,,Brick,Private,None / 0.0,5,5,,None,,Residential,,,,,Municipal,,Sewers,,,,,,Unknown
497,130 Presley Ave,M1L 3R1,Toronto E04,Bungalow,"$661,000","$599,900","$2,863.28",7,41.25 x 120 Feet,6 + 3,2 + 2,1,"This Bright And Charming Bungalow Offers A Spacious Living Dining Area With Lots Of Natural Light. 2+2 Bedrooms With Large Rec Space And Family Room Including A Walk Out To The Backyard. Complete With A Detached Garage And Private, Spacious Driveway. Steps To Buses, Warden Subway Station And Schools.","All As Is: Oil Furnace & Oil Tank, Fridge, Stove, Dishwasher, Washer, Dryer, All Elf's, Central Vac & Equip. Exclude: Curtains & Rods. Hwt Is A Rental","Register Offers By 5:00Pm Presentation @ 7:00Pm @ House On September 19th.  Include Form 801, Schedule B & C. Seller Will Not Consider Pre-Emptive Offers. Survey Available - Buyer To Verify All Measurements. Email Admin@Nancywilsongroup.Com For Hi",1,Y,Finished,N,Forced Air / Oil,None,Y,,,,,,Brick,Private,Detached / 1.0,4,5,,None,"Park, Place Of Worship, Public Transit, Ravine, Rec Centre, School",,,,,,Municipal,,Sewers,,,,,,Unknown
498,56 Amherst Ave,M6E1Z3,Toronto C03,Bungalow,"$705,000","$649,000","$2,816.96",3,25 x 110 Feet,8,2 + 1,2,"***Bright & Spacious Detached Bungalow In Oakwood Village!*** This South-Facing Home Gets An Abundance Of Natural Light And Offers Endless Possibilities: A Large Single-Family Home, Excellent Rental Income Potential, Live In As-Is Or Renovate To Your Tastes. Open Concept Living/Dining. Kitchen W/ Gas Stove. Large Master Bedroom. Hardwood Floors. Huge Backyard W/ Storage Shed. Legal Front Yard Parking. Large Bright Basement W/ Walk-Out, Kitchen & 3rd Bedroom.","Excellent Location: Ttc; Close To The Future Oakwood Station Of The Eglinton Crosstown Lrt; Steps To Fairbank Memorial Park, Community Recreation Centre & Swimming Pool.",An Offer Has Been Received & Seller Will Review On Evening Of September 21st. Buyer To Verify Taxes & Measurements. Deposit To Be Certified. Inc Attachments. No Survey. Pre-Listing Home Inspection Available. Please Contact La W/ Any Questions.,2,Y,Apartment / W/O,N,Radiant / Gas,None,,51-99,700-1100,,,,Brick,Front Yard,None / 0.0,1,1,,None,"Fenced Yard, Park, Public Transit, Rec Centre, School",,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
499,16 Frith Rd,M3N1G1,Toronto W05,Bungalow,"$645,000","$649,000","$2,630.05",7,51.33 x 115.12 Feet,6 + 3,3 + 1,2,"Great Solid Bungalow! Close To Ttc And Shopping. Wonderful Large Corner Lot, Long Concrete Drive, Fully Fence Yard, Hardwood Floor On Main, Updated Eat-In Kitchen, Sep Living Ann Dining Room, Large Rec Room And Large Bdrm In Bsmt W/ 3 Piece Bathroom, Skylight In Kitchen, Great Value For Detached Bungalow In Area!","Fridge, Gas Stove, B/I Microwave, Washer And Dryer, Large Freezer In Bsmt, Cac, Central Vac, Tool Shed","House Has A Ramp In Front And Maybe Suitable For Wheelchair Accessible Or Handicap Access, Pls Attach Sched B And Form 801 To All Offers. Thanks For Showing!!!",1,Y,Finished,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,None / 0.0,3,3,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
500,126 Porchester Dr,M1J2R7,Toronto E09,Bungalow,"$642,500","$667,000","$2,691.25",22,42 x 120 Feet,9 + 1,3 + 1,2,"Lovely 3+1 Bungalow In Woburn! New Kitchen And Main Bath 2017. Full Basement W/ Separate Entrance And Wood Fireplace Enjoyable As Rec Area Or Potential For More. In-Ground Pool Ideal For At-Home Aqua Fitness, Or Renovate For A Private Backyard. Lots Of Storage Space Inside And Out. Walking Distance To Ttc, Eglinton Go. Minutes To 401, Park And Green Space, Schools, Shops, Services. Pre-List Home Inspection Available.","S/S - Gas Stove, Fridge, Dishwasher. Rental Hwt 2015. Existing Washer/Dryer, Elec Light Fixtures, Window Coverings, Garden Shed, Storage Boxes In Backyard. Pool Equipment - Pump 2016, Gas Heater 2010, Sand Filter.","Easy To Show With Lockbox. All Offers Anytime. Email/Text La Robin.Pacquing@Century21.Ca For Full Carson Dunlop Home Inspection Dated Aug 28. Buyer/Agent To Verify All Taxes & Measurements. Schd B, Form 801, Deposit To Be Certified.  Thanks For Showing!",1 + 1,N,Finished / Sep Entrance,Y,Forced Air / Gas,Central Air,,51-99,1100-1500,,,,Brick,Private,None / 0.0,3,3,,Inground,"Golf, Library, Park, Public Transit, Ravine, School",,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
501,26 Wardlaw Cres,M9V1L2,Toronto W10,Bungalow,"$665,000","$668,999","$2,795.47",7,49.33 x 114 Feet,6 + 2,3 + 1,2,"Spacious Bungalow On Large Lot, Family Neighbourhood In Thistletown Village, 3 Good Sized Bedrooms, Eat-In Kitchen, Hardwood Under Broadloom, Basement Finished With Separate Entrance, 1 Bedroom, 3Pc Bath & Living Area, Loads Of Storage. Shingles, Windows, A/C & Furnace All Replaced Within Last 10 Years.","Include: Elfs, A/C, Fridge, Stove Top, Built-In Oven, Built-In Dishwasher, Washer, Dryer. Hot Water Tank Rental.","Download 801, Schedule B & C And Attach To All Offers. Please Allow 48Hrs Irrevocable, It Is An Estate Sale. Email All Offers To Jackie@Royallepage.Ca",1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Attached / 1.0,3,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
502,72 Shier Dr,M1J2T2,Toronto E09,Bungalow-Raised,"$657,000","$669,000","$2,456.06",1,42 x 120 Feet,6 + 2,3 + 1,2,"Convenient Location On A Quiet Street With A Large Lot! Bright, Welcoming And Well Maintained. A Lovely Family Home. Freshly Painted Living And Dining Room, Eat-In Kitchen. Three Comfortable Bedrooms, Walk Out From 2nd Bedroom To A Large Deck And Private Backyard. So Many Possibilities With A Separate Entrance To Large Lower Level With Lots Of Windows And Natural Light.","Incl: Fridge, Stove, Dishwasher, Washer, Dryer, All Window Coverings, Ceiling Fans & Elfs. Amenities! Walk To Go, Ttc, Shopping & Restaurants. Close To Scarboro Town Centre, Cedarbrae Mall. Amazing Location.","Please Include Schedule B & Form 801. Pls Provide Proof Of Mtg Pre-Approval W/Offers. Lbx Easy Showings. 48 Hrs Irrevocable-3 Executors Traveling. Note** Estate Sale: House, Fixtures, And Chattels Are Being Sold 'As Is'. Probate In Progress, Probate Clause In Schedule B.",1,N,Part Fin / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,None / 0.0,3,3,,None,"Fenced Yard, Hospital, Public Transit, School",,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
503,8 Burritt Rd,M1R3S6,Toronto E04,1 1/2 Storey,"$685,500","$689,900","$2,703.73",0,40 x 126 Feet,6 + 3,3,1,"This Lovely Family Home Is Located On A Quiet, Child-Friendly Street With A Large Fenced Yard And Detached Garage. Complete With 3-Bedrooms And A Large Window In The Living Area Supplying Plenty Of Natural Light. Enjoy This Convenient Location And Its Surrounding Amenities Including - Ttc, Shops & Great Schools Including Wexford Collegiate School For The Arts.","Fridge, Stove, B/I D/W, Washer, Dryer, Second Fridge, Gas Burner & Equip, Cac, All Elf's, Pool & Equip. Exclude Rods & Drapes. Hwt Is A Rental.","E-Mail Admin@Nancywilsongroup.Com For Home Inspection. Submit All Offers With Form 801, Schedule B & C.  Please Allow 24/Hr Irrevocable.",1,N,Finished,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Detached / 2.0,4,6,,Abv Grnd,"Hospital, Library, Park, Public Transit, Rec Centre, School",,,,,,Municipal,,Sewers,,,,,,Unknown
504,37 Macdonald Ave,M9N2E3,Toronto W04,Bungalow,"$680,000","$695,000","$3,093.21",26,43.5 x 95.79 Feet,6 + 3,3 + 1,2,"Just A Solid Brick Bungalow, In Same Family Over 40 Years & Now Time For A New Happy Family. Yes, It Needs Modernisation But It Has 3+ Year Old Furnace, Breaker Electrical & Updated Windows. Beautiful Hardwood Floors In Living Room & Dining Room Were Stained. All Bedrooms Have Original Hardwood. Easy Walk To Schools, Ttc, & Shopping. Close To Go Train, & 401 Access. Great Tree Lined Street Across From Open School Yard. Basement Has Private Side Door Entrance.","Older Appliances, As Is, No Warranties. No Exclusions. 2 Refrigerators, 1 Stove, Washer, Dryer- Lots Of Basement Storage Areas.","Easy Of Showing, Lb, Front Door, & Vct. Needs Modernisation But Solid & Clean. High Bsmt. Bsmt Has Potential For Income. Note; Seller In Care Facility, Frail. Need 24 Hr Min Irrev. As Lb Has To Drive Out Of Town To Present. Email Offers To Barry@Lebow.Ca",1 + 1,N,Full / Sep Entrance,N,Forced Air / Gas,None,,51-99,1100-1500,,,,Brick,Private,Attached / 1.0,1,2,,None,,Strictly Residential,,,,,Municipal,,Sewers,,N,,,,Unknown
505,55 Gondola Cres,M1G2J2,Toronto E09,Bungalow,"$675,000","$699,000","$2,680.00",9,124.18 x 50 Feet,6 + 3,3 + 1,2,"Beautiful Home! Renovated Throughout With Attention To Detail.  This 3 + 1 Bedroom Home Is Located In A Quiet Sought After Neighbourhood. Some Of The Many Upgrades Include: High Eff Furnace (2015), Garage Door (2014), Roof Shingles & Ridge Vents (2015), Laminate Throughout Main Flr (2017),Renovated Main Flr Washroom (2017),Soffits,Facia, 5"" Eaves & Gutter Guard (2014), Main Floor Windows (2016) Except Bay In (2014), And The List Goes On!","Fridge, Stainless Steel Stove,Elfs,Brdlm W/L,All Window Coverings Including Cascading Blinds In Kitchen (2017), Mirror & Matching Shelf In Ent,Garage Door Opener & Remote, Gb&E,Central Air. (Exclude Washer,Dryer & Rec Rm Speakers)","Offers Accepted Anytime.  Please Include Form 801, Schedule B And Include Certified Cheque Or Bank Draft.",1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Pvt Double,Attached / 2.0,2,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
506,529 Silverthorn Ave,M6M3H8,Toronto W03,2-Storey,"$700,000","$699,000","$3,470.00",33,30 x 110 Feet,7,4,2,"Attention All Investors, Contractors, Renovators & Handymen! Don't Miss Out On This Great Opportunity Family Home With Income , Or Triplex, This Home Can Cater To Your Needs. Solid Brick Home In Good Location...Close To Parks, Schools, Shops & Transit","Being Sold As Is. All Taxes, Measurements & Info Regarding The Home Must Be Verified By The Buyer Or The Representative **",Legal Description: Lt 179 Pl 1896 Twp Of York; Pt Lt 178 Pl 1896 Twp Of York As In Cy501232*** Appt Desk Open Sundays 10Am-3Pm ** Please Attach  Schedule B & Form 801 To All Offers. Contact Alex Sclavi 647-274-8565 With Any Questions.,2,N,Unfinished,N,Forced Air / Gas,None,,51-99,,,,,Brick,Lane,None / 0.0,1,1,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
507,589 Oxford St,M8Y1E6,Toronto W06,Bungalow,"$713,000","$699,000","$2,820.69",3,45 x 125.5 Feet,5 + 1,3,1,1st Time Offered For Sale! Lovingly Maintained By Original Owner. Great Opportunity To Buy A Detached Bungalow With Large Lot & Detached Garage In Desirable Mimico! Move In And Renovate To Your Taste. Bright Living Room With Hardwood Floors & Large Eat In Kitchen. 3 Good Sized Bdrms. Separate Entrance To Finished Basement With Large Rec Room. New Furnace & Ac (2016) & Upgraded Electrical. Large Lot With Long Drive & Detached Garage.,"Ideally Located Close To Shops, Schools, Parks, Highways, Transit, Downtown & Airport! Includes Fridge, Stove, Dishwasher, Washer & Dryer (All Appliances In As-Is Condition). All Electrical Light Fixtures, All Window Coverings.","Easy To Show With Lock Box. Offers Anytime. Carson & Dunlop Home Inspection Available. Please Attach Schd B, C And Form 801 To Offers. Please Allow 48 Hours Irrevocable.",1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Vinyl Siding,Mutual,Detached / 1.0,2,3,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
508,11 Shamrock Ave,M8W1C7,Toronto W06,Bungalow,"$921,000","$699,000","$3,829.28",1,50 x 130 Feet,4,1 + 1,2,"Welcome To Lovely Long Branch - Large Lot! Close To Go, Ttc, Parks, Lakes, Schools, Shopping! Buy Into This Up And Coming Affordable Area And Build Your Dream Home! Calling All Developers, Contractors And Dream Home Builders! 50 Foot Frontage! Take A Drive South Towards The Lake To See All The New Builds And Check Out Other Homes On Shamrock Ave For Inspiration! Property Is Being Sold ""As Is, Where Is, No Guarantees, No Warranties"".","Lot Value Only:50Ft X 130Ft! Quiet Street, New Homes Being Built On Every Street In This Lovely Pocket South Of Lakeshore. Steps To Lake, Parks, Trails - Family Friendly Neighbourhood. Buyer To Verify All Measurements.","Property Vacant, Lock Box For Easy Showings. Please Call La Before Preparing Offer. Offers - 24 Business Hr Irrevocable (Poa Out Of Town). Offers Gratefully Reviewed After Sunday September 24th. Pls Inc Sched B And C. *2 Preemptive Offers Have Been Registered* Presenting 09/21*",1,N,Part Fin,N,Baseboard / Oil,Central Air,N,51-99,700-1100,,,,Brick,Private,Detached / 1.0,3,4,No,None,"Lake/Pond, Park, Public Transit, School",,,,,,Municipal,,Sewers,None,N,,,,Unknown
509,6 Chillery Ave,M1K4S9,Toronto E08,Bungalow,"$710,000","$699,900","$2,874.86",17,45 x 126 Feet,6,3,1,"Welcome To This Jumbo Size 3 Bedroom Bungalow Nestled On Demand & Picturesque Chillery Ave. First Time Offered For Sale Since 1965 You'll Discover An Enormous Attached Garage (Approx 20Ftx10Ft), Close To 6000 Sq Ft Lot Size. Recent Upgrades Include Garage Door (2000), Garage Door Opener (2017), Driveway (2005), Roof (2005), Eaves & Furnace (2014), Washer (2016). Massive Basement Area Contains More Height  & Space Than Your Average Bungalow.","Close Proximity To Either Midland /Brimley, Ttc, Schools & All Amenities. Includes: Electric Light Fixtures, Fridge, Stove, Washer, Dryer, Central Air Conditioner, Hot Water Tank (Rental).","Offers Reviewed September 12th @7Pm, Register Prior To 3Pm. No Pre-Emptive  Offer. Attach From 801 & Schedule B To Offer. Kindly Bank Draft Deposit Cheque. Seller Willing To Leave Some Items/Belongings.",1,N,Finished,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Attached / 1.0,1,2,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
510,17 Rosevear Ave,M4C1Z1,Toronto E03,2-Storey,"$680,000","$699,900","$2,456.06",9,20 x 103 Feet,5 + 1,2 + 1,3,"Fantastic Detached Home Steps From The Danforth! Nicely Updated And Maintained Throughout - Open Concept Layout With Hardwood Floors And A Modern Kitchen. 2 Spacious Bedrooms And 3 Renovated Baths. Finished Basement Rec Room With Ample Storage. Lovely Fenced Yard, Perfect For Entertaining.  Amazing Location - A Short Walk To The Subway And Go Stations, Shops And Amenities, Parks And Schools. This One Is A Must-See! Public Open House Sat/Sun 2-4.","Fridge, Stove, Micro/Range, Dishwasher, Washer & Dryer. All Window Coverings And Light Fixtures (Excl Dining Room Fixt). Wardrobe In Master, Couch In Basement. Gb&E, A/C, Hwt (R). Legal Front Pad Parking.","Easy To Show With Lockbox. Home Inspection Available Upon Request. Please Contact Lani@Wrightsisters.Com With Any Inquiries. Offers Anytime, Please Attach Schedule B And 801.",1,N,Finished,N,Forced Air / Gas,Central Air,,,,,,,Stone,Front Yard,None / 0.0,1,1,,None,"Fenced Yard, Park, Public Transit, School",,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
511,166 Morningside Ave,M1E3C9,Toronto E08,Bungalow,"$677,000","$699,900","$2,352.87",9,43 x 120 Feet,6,3 + 3,3,"Great House With Two Income Generating Basement Apartment's. Near Lake, Guildwood! Well-Kept All Brick Home Ready To Move In! Hardwood, Crown Moulding W/Oversized Fam Kitchen & Fully Fenced Yard. 4 Car Parking, 2 Bsmt Apt's, Large Rec Rm, Large Back Patio. Central Air Conditioning. Steps To Ttc, 10 Mins To 401, 5 Mins To New Big Box Centre At Morningside/Lawrence. Affordable Solid Home In Rapidly Improving Area.","3 Fridges, 2 Stoves, Washer, Dryer, Cac, Hwt(R), All Elfs, Window Coverings And Garden Shed. 3 Kitchens And 3 Full Bath. New Roof (2016). Tenants Willing To Stay. Upstairs = $1500, Basement Unit 1 - $850 And Basement Unt 2 = $500.",Offers Anytime. Text Listing Agent At 416-697-6478 To Book Showing. Please Attach Schedule B To Offer.,1 + 2,Y,Apartment / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,None / 0.0,4,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
512,53 Hellensfield Cres,M9C5E5,Toronto W08,Bungalow-Raised,"$715,000","$699,900","$3,610.94",4,40 x 91.13 Feet,6,3,2,"Rare Raised Bungalow In Centennial Park Neighbourhood. 2 Car Garage Access From Home, Finished Family Rm With A Fireplace & W/O To Garden, Gas Heating, Central Air. Includes 6 Appliances, Carson & Dunlop Home Inspection Available. In 1967 The Former Borough Of Etobicoke Created Centennial Park As A Project To Celebrate Canadas 100th Birthday. Centennial Park Has Indoor Hockey Arenas, Ski Hills, Public Golf Course, Mini-Indy Track & Excellent Schools&Shopping!","Fridge, Stove, Dishwasher, Microwave (Kitchen), Washer/Dryer, Broadloom Where Laid, Electric Light Fixtures, Small Freezer, Window Coverings, Gas Burner + Equipment, Central Air Conditioning. *Original Owner, Built 1981!","Great Value With Terrific Curb Appeal Tucked Away City's West End C/C Or B/D Upon Acceptance. Offers Tuesday, September 19 @ 5 Pm. Register At 4 Pm, Don't Miss This Affordable Gem!",1,Y,Finished,Y,Fan Coil / Gas,Central Air,,31-50,2000-2500,,,,Brick,Private,Attached / 2.0,2,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
513,122 Tower Dr,M1R3P2,Toronto E04,1 1/2 Storey,"$680,000","$699,990","$2,573.02",56,43 x 125 Feet,6 + 3,3 + 1,2,Well Maintained Home On A Quiet Street. 43X125 Lot. 1223 Sq/Ft As Per Floor Plans. Great Bones With 3+1 Nice Sized Bedrooms A Light Filled Living And Dining Room With Large Picture Windows At Each End And One And A Half Bathrooms. It Boasts An Eat-In Kitchen With Walkout To A Sun Filled 3 Season Back Porch Overlooking A Beautiful Backyard With Perennial Gardens And Mature Fruit Trees. Truly An Oasis In The City,"Fridge, Stove, Washer And Dryer. Furnace And A/C 2016, Roof 2013.",Please Attach Schedule B And Form 801. Co-Op Commission  *2.75%* Please Include 2 Business Days For Vendor's Lawyer's Approval On All Offers. No Survey.,1,N,Finished,N,Forced Air / Gas,Central Air,N,51-99,1100-1500,,,,Brick,Private,None / 0.0,3,3,,None,Fenced Yard,,,,,,Municipal,,Sewers,,,,,,Unknown
514,16 Benway Dr,M9W1Z3,Toronto W10,Bungalow,"$685,000","$699,999","$2,737.56",37,45 x 112 Feet,5 + 5,3 + 2,2,"Conveniently Located In The Heart Of Rexdale A Quite A Family Friendly Neighborhood, Minutes From Hwy 401, 400 And 427 And All The Amenities. A Must See This Property! You'll  Love This Charming, 3 Bedroom With 2 Bathroom Bungalow. It Includes A Spacious Basement,With 2 Additional Bedrooms, A Large Recreation Rm,Kitchen With Separate Entrance And 10 Minute Away From Kipling And Islington Sybway Station.","Fridge, Stove,Washer & Dryer, All Elf's, All Window Coverings, Furnace, A/C, Newer Deck And Single Car Garage With New Improved 3 Car Space Driveway. 3rd Br Window Curtain Excluded.","Please Attach Schedule ""B"" With All Offers. Deposit Must Be In Certified Funds. Seller And Agent Do Not Warrant Retrofit Status Of Basement. Buyer Or His Agent To Verify All Measurements And Taxes.",1 + 1,N,Finished,Y,Forced Air / Gas,Central Air,,51-99,,,,,Brick,Private,Attached / 1.0,3,4,,None,"Hospital, Park, Public Transit",Residential,,,,,Municipal,,Sewers,,,,,,Unknown
515,41 Megan Ave,M1E4A8,Toronto E10,Bungalow,"$705,000","$700,000","$2,635.02",7,50 x 200 Feet,6 + 1,3 + 1,2,"Attn Investors, Builders, 1st Time Buyers. Solid Brick Bungalow On Huge 50X200 Ft Lot. Huge Income Potential! Side Entrance To Part Finished Bsmt W/ Full Bath. Newer Thermal Windows, Roof, Furnace, Ac, Attic Insul., Flooring On Main, And More! Professionally Designed Bsmt Sound Studio /Home Theatre. Steps To Ttc, Close To Shopping, Schools, Park, Waterfront Trail And Go Train.","Dishwasher, Fridge(2017), Stove, Stackable Washer (2017) And Dryer(2017) On Main Floor, Stand Alone Wardrobe In Bedroom, Washer And Dryer In Bsmt, 2 Person Basswood Sauna, Hrv, Upright Freezer, All Elfs & Window Coverings","Hwt Is Rental, Pre Listing Home Inspection Report Available. Offers, If Any To Be Presented Sept. 18. At 6 Pm.",1,N,Full / Part Fin,N,Forced Air / Gas,Central Air,N,,,,,,Brick,Private,None / 0.0,4,4,,None,"Library, Public Transit, Rec Centre, School",,,,,,Municipal,,Sewers,,,,,,Unknown
516,56 Beacon Rd,M1P1G7,Toronto E04,1 1/2 Storey,"$722,000","$725,000","$2,926.13",12,42 x 120 Feet,5 + 3,2 + 2,3,"Renovated Detached Home In Demand Dorset Park Area. South Facing On A Quiet Tree Lined Street. Large Family Room W/Fireplace And W/O To Over Sized Wood Deck (2015) And Separate Dining Room On The Main Floor. Large Kitchen W/Stunning Custom Cabinetry And Italian Marble Counter Bar, Ceramic Floor. Renovated (2016) Two Bedroom Basement Apartment W/In-Law Suite/Office W/Separate Entrance (2016)","New Windows And Door (2015), Extended Garage Allows 2 Cars(2013). High Efficiency Furnace, Bbq Hook Up, Interlocking Walkway, Stone Front Porch. Beautiful Perennial Gardens.",Seller And Agent Do Not Warrant Retrofit Status Of The Basement Apt. Buyer To Confirm And Satisfy Themselves W/All Room Measurements Before Placing An Offer.,1 + 1,Y,Apartment / Sep Entrance,Y,Forced Air / Gas,Central Air,,,,,,,Alum Siding / Brick,Private,Attached / 2.0,2,4,,None,"Fenced Yard, Level",,Y,Y,Y,Y,Municipal,,Sewers,,,,Garden Shed,,Unknown
517,14 Griselda Cres,M1G3P6,Toronto E09,Bungalow,"$733,000","$739,900","$3,162.67",13,50 x 129.66 Feet,7 + 4,3 + 1,2,"This Spacious 3 + 1-Bedroom Bungalow Located On A Premium Lot Offers An Open Concept Living Dining Area Plus A Large Eat-In Kitchen. Great Potential For Income With Separate Entrance And Basement Apartment. Complete With An Attached Garage, Covered Front Porch And Large Fenced Yard On A Quiet Crescent. Easy Access To Hwy 401, Ttc And Schools.","All As Is: Built-In Stove Vent, Stove, Fridge, Built-In Dishwasher, Washer, Dryer, Furnace, Cac, All Elf's, Shed, Second Fridge & Stove, Dehumidifier, All Blinds, Fireplace. Exclude Curtains & Rods.","Submit All Offers With Form 801, Schedule B & C. Please Allow 48 Irrevocable As Seller Is Traveling. E-Mail Admin@Nancywilsongroup.Com For The Home Inspection. Buyer To Verify Measurements. Seller And Listing Agent Do Not Warrant Retrofit Status.",1 + 1,N,Apartment / Sep Entrance,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Attached / 2.0,3,5,,None,"Library, Park, Place Of Worship, Public Transit, School",,,,,,Municipal,,Sewers,,,,,,Unknown
